model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,wetmodel,wetviewmodel,productionLevel
body_arab_desert_lmg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,raceblk,,,,,,Gold
body_arab_desert_lmg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,racetan,,,,,,Gold
body_arab_desert_lmg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,racewht,,,,,,Gold
body_arab_desert_shotgun_mp_camo,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,!racewht,!raceblk,!racetan,,,,Gold
body_arab_desert_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,raceblk,,,,,,Gold
body_arab_desert_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,racetan,,,,,,Gold
body_arab_desert_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,racewht,,,,,,Gold
body_h2_opforce_smg,shirt,1,1,1,,,,,,desert,!ally,smg,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_smg,,Gold
body_h2_opforce_smg,shirt,1,1,1,,,,,,snow,!ally,smg,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_smg,,Gold
body_arab_desert_smg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,smg,!female,raceblk,,,,,,Gold
body_arab_desert_smg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,smg,!female,racetan,,,,,,Gold
body_arab_desert_smg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,smg,!female,racewht,,,,,,Gold
body_spetsnaz_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,,,,,body_spetsnaz_woodland_sniper_mp_camo,,Gold
body_spetsnaz_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,snow,!ally,sniper,!female,,,,,body_spetsnaz_woodland_sniper_mp_camo,,Gold
body_arab_desert_sniper_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,raceblk,,,,,,Gold
body_arab_desert_sniper_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,racetan,,,,,,Gold
body_arab_desert_sniper_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,racewht,,,,,,Gold
body_h2_tf141_assault,shirt,1,1,1,,,,,,urban,ally,assault,!female,,,,,,,Gold
body_sas_ct_female_assault_mp_camo,shirt,1,1,1,,,,,,urban,ally,assault,female,,,,,,,Gold
body_sas_ct_female_lmg_mp_camo,shirt,1,1,1,,,,,,urban,ally,lmg,female,,,,,,,Gold
body_sas_ct_female_shotgun_mp_camo,shirt,1,1,1,,,,,,urban,ally,shotgun,female,,,,,,,Gold
body_sas_ct_female_smg_mp_camo,shirt,1,1,1,,,,,,urban,ally,smg,female,,,,,,,Gold
body_sas_ct_female_sniper_mp_camo,shirt,1,1,1,,,,,,urban,ally,sniper,female,,,,,,,Gold
body_h2_tf141_assault,shirt,1,1,1,,,,,,urban,ally,lmg,!female,,,,,,,Gold
body_sas_ct_shotgun_mp_camo,shirt,1,1,1,,,,,,urban,ally,shotgun,!female,,,,,,,Gold
body_h2_tf141_smg,shirt,1,1,1,,,,,,urban,ally,smg,!female,,,,,,,Gold
body_sas_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,urban,ally,sniper,!female,!racewht,!raceblk,!racetan,,body_sas_woodland_sniper_mp_camo,,Gold
body_h2_seal_assault,shirt,1,1,1,,,,,,woodland,ally,assault,!female,!racewht,!raceblk,!racetan,,body_h2_tf141_assault,,Gold
body_sas_woodland_assault_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,assault,!female,raceblk,,,,,,Gold
body_sas_woodland_assault_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,assault,!female,racetan,,,,,,Gold
body_sas_woodland_assault_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,assault,!female,racewht,,,,,,Gold
body_sas_woodland_female_assault_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,assault,female,!racewht,!raceblk,!racetan,,,,Gold
body_sas_woodland_female_assault_patch_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,assault,female,raceblk,,,,,,Gold
body_sas_woodland_female_assault_patch_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,assault,female,racetan,,,,,,Gold
body_sas_woodland_female_assault_patch_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,assault,female,racewht,,,,,,Gold
body_sas_woodland_female_lmg_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,lmg,female,,,,,,,Gold
body_sas_woodland_female_shotgun_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,!racewht,!raceblk,!racetan,,,,Gold
body_sas_woodland_female_shotgun_patch_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,raceblk,,,,,,Gold
body_sas_woodland_female_shotgun_patch_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,racetan,,,,,,Gold
body_sas_woodland_female_shotgun_patch_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,racewht,,,,,,Gold
body_sas_woodland_female_smg_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,smg,female,,,,,,,Gold
body_sas_woodland_female_sniper_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,sniper,female,!racewht,!raceblk,!racetan,,,,Gold
body_sas_woodland_female_sniper_patch_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,sniper,female,raceblk,,,,,,Gold
body_sas_woodland_female_sniper_patch_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,sniper,female,racetan,,,,,,Gold
body_sas_woodland_female_sniper_patch_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,sniper,female,racewht,,,,,,Gold
body_h2_seal_assault,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,!racewht,!raceblk,!racetan,,body_h2_tf141_assault,,Gold
body_sas_woodland_lmg_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,raceblk,,,,,,Gold
body_sas_woodland_lmg_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,racetan,,,,,,Gold
body_sas_woodland_lmg_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,racewht,,,,,,Gold
body_sas_woodland_shotgun_mp_camo,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,!racewht,!raceblk,!racetan,,,,Gold
body_sas_woodland_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,raceblk,,,,,,Gold
body_sas_woodland_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,racetan,,,,,,Gold
body_sas_woodland_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,racewht,,,,,,Gold
body_h2_seal_smg,shirt,1,1,1,,,,,,woodland,ally,smg,!female,!racewht,!raceblk,!racetan,,body_h2_tf141_smg,,Gold
body_sas_woodland_smg_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,smg,!female,raceblk,,,,,,Gold
body_sas_woodland_smg_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,smg,!female,racetan,,,,,,Gold
body_sas_woodland_smg_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,smg,!female,racewht,,,,,,Gold
body_sas_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,!racewht,!raceblk,!racetan,,body_sas_woodland_sniper_mp_camo,,Gold
body_sas_woodland_sniper_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,raceblk,,,,,,Gold
body_sas_woodland_sniper_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,racetan,,,,,,Gold
body_sas_woodland_sniper_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,racewht,,,,,,Gold
body_h2_militia_assault,shirt,1,1,1,,,,,,urban,!ally,assault,!female,,,,,body_h2_airborne_assault,,Gold
body_spetsnaz_urban_female_sniper_mp_camo,shirt,1,1,1,,,,,,urban,!ally,sniper,female,,,,,,,Gold
body_h2_militia_lmg,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_lmg,,Gold
body_spetsnaz_urban_lmg_mp_camo_brn,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,raceblk,,,,,,Gold
body_spetsnaz_urban_lmg_mp_camo_tan,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,racetan,,,,,,Gold
body_spetsnaz_urban_lmg_mp_camo_wht,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,racewht,,,,,,Gold
body_spetsnaz_urban_shotgun_mp_camo,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,!racewht,!raceblk,!racetan,,,,Gold
body_spetsnaz_urban_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,raceblk,,,,,,Gold
body_spetsnaz_urban_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,racetan,,,,,,Gold
body_spetsnaz_urban_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,racewht,,,,,,Gold
body_h2_militia_smg,shirt,1,1,1,,,,,,urban,!ally,smg,!female,!racewht,!raceblk,!racetan,,body_h2_airborne_smg,,Gold
body_spetsnaz_urban_smg_mp_camo_brn,shirt,1,1,1,,,,,,urban,!ally,smg,!female,raceblk,,,,,,Gold
body_spetsnaz_urban_smg_mp_camo_tan,shirt,1,1,1,,,,,,urban,!ally,smg,!female,racetan,,,,,,Gold
body_spetsnaz_urban_smg_mp_camo_wht,shirt,1,1,1,,,,,,urban,!ally,smg,!female,racewht,,,,,,Gold
body_spetsnaz_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,urban,!ally,sniper,!female,,,,,body_spetsnaz_woodland_sniper_mp_camo,,Gold
body_h2_airborne_assault,shirt,1,1,1,,,,,,woodland,!ally,assault,!female,,,,,body_h2_opforce_assault,,Gold
body_spetsnaz_woodland_female_assault_mp_camo,shirt,1,1,1,,,,,,woodland,!ally,assault,female,,,,,,,Gold
body_spetsnaz_woodland_female_assault_mp_camo,shirt,1,1,1,,,,,,urban,!ally,assault,female,,,,,,,Gold
body_spetsnaz_woodland_female_lmg_mp_camo,shirt,1,1,1,,,,,,woodland,!ally,lmg,female,,,,,,,Gold
body_spetsnaz_woodland_female_lmg_mp_camo,shirt,1,1,1,,,,,,urban,!ally,lmg,female,,,,,,,Gold
body_spetsnaz_woodland_female_shotgun_mp_camo,shirt,1,1,1,,,,,,woodland,!ally,shotgun,female,,,,,,,Gold
body_spetsnaz_woodland_female_shotgun_mp_camo,shirt,1,1,1,,,,,,urban,!ally,shotgun,female,,,,,,,Gold
body_spetsnaz_woodland_female_smg_mp_camo,shirt,1,1,1,,,,,,woodland,!ally,smg,female,,,,,,,Gold
body_spetsnaz_woodland_female_smg_mp_camo,shirt,1,1,1,,,,,,urban,!ally,smg,female,,,,,,,Gold
body_spetsnaz_woodland_female_sniper_mp_camo,shirt,1,1,1,,,,,,woodland,!ally,sniper,female,,,,,,,Gold
body_h2_airborne_lmg,shirt,1,1,1,,,,,,woodland,!ally,lmg,!female,,,,,body_h2_opforce_lmg,,Gold
body_spetsnaz_woodland_shotgun_mp_camo,shirt,1,1,1,,,,,,woodland,!ally,shotgun,!female,,,,,,,Gold
body_h2_airborne_smg,shirt,1,1,1,,,,,,woodland,!ally,smg,!female,,,,,body_h2_opforce_smg,,Gold
body_spetsnaz_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,woodland,!ally,sniper,!female,,,,,body_spetsnaz_woodland_sniper_mp_camo,,Gold
body_usmc_desert_female_lmg_mp_camo,shirt,1,1,1,,,,,,desert,ally,lmg,female,,,,,,,Gold
body_usmc_desert_female_shotgun_mp_camo,shirt,1,1,1,,,,,,desert,ally,shotgun,female,,,,,,,Gold
body_usmc_desert_female_smg_mp_camo,shirt,1,1,1,,,,,,desert,ally,smg,female,!racewht,!raceblk,!racetan,,,,Gold
body_usmc_desert_female_smg_mp_camo_brn,shirt,1,1,1,,,,,,desert,ally,smg,female,raceblk,,,,,,Gold
body_usmc_desert_female_smg_mp_camo_tan,shirt,1,1,1,,,,,,desert,ally,smg,female,racetan,,,,,,Gold
body_usmc_desert_female_smg_mp_camo_wht,shirt,1,1,1,,,,,,desert,ally,smg,female,racewht,,,,,,Gold
body_usmc_desert_female_sniper_mp_camo,shirt,1,1,1,,,,,,desert,ally,sniper,female,!racewht,!raceblk,!racetan,,,,Gold
body_usmc_desert_female_sniper_mp_camo_brn,shirt,1,1,1,,,,,,desert,ally,sniper,female,raceblk,,,,,,Gold
body_usmc_desert_female_sniper_mp_camo_tan,shirt,1,1,1,,,,,,desert,ally,sniper,female,racetan,,,,,,Gold
body_usmc_desert_female_sniper_mp_camo_wht,shirt,1,1,1,,,,,,desert,ally,sniper,female,racewht,,,,,,Gold
body_h2_us_army_ar,shirt,1,1,1,,,,,,desert,ally,assault,!female,!racewht,!raceblk,!racetan,,,,Gold
body_h2_us_army_smg,shirt,1,1,1,,,,,,snow,ally,smg,!female,!racewht,!raceblk,!racetan,,,,Gold
body_h2_us_army_lmg,shirt,1,1,1,,,,,,snow,ally,lmg,!female,!racewht,!raceblk,!racetan,,,,Gold
body_h2_us_army_lmg,shirt,1,1,1,,,,,,desert,ally,lmg,!female,!racewht,!raceblk,!racetan,,,,Gold
body_usmc_desert_lmg_mp_camo_brn,shirt,1,1,1,,,,,,desert,ally,lmg,!female,raceblk,,,,,,Gold
body_usmc_desert_lmg_mp_camo_tan,shirt,1,1,1,,,,,,desert,ally,lmg,!female,racetan,,,,,,Gold
body_usmc_desert_lmg_mp_camo_wht,shirt,1,1,1,,,,,,desert,ally,lmg,!female,racewht,,,,,,Gold
body_h2_us_army_assault,shirt,1,1,1,,,,,,desert,ally,shotgun,!female,!racewht,!raceblk,!racetan,,,,Gold
body_usmc_desert_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,desert,ally,shotgun,!female,raceblk,,,,,,Gold
body_usmc_desert_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,desert,ally,shotgun,!female,racetan,,,,,,Gold
body_usmc_desert_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,desert,ally,shotgun,!female,racewht,,,,,,Gold
body_h2_us_army_smg,shirt,1,1,1,,,,,,desert,ally,smg,!female,!racewht,!raceblk,!racetan,,,,Gold
body_usmc_desert_smg_mp_camo_brn,shirt,1,1,1,,,,,,desert,ally,smg,!female,raceblk,,,,,,Gold
body_usmc_desert_smg_mp_camo_tan,shirt,1,1,1,,,,,,desert,ally,smg,!female,racetan,,,,,,Gold
body_usmc_desert_smg_mp_camo_wht,shirt,1,1,1,,,,,,desert,ally,smg,!female,racewht,,,,,,Gold
body_sas_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,snow,ally,sniper,!female,!racewht,!raceblk,!racetan,,body_sas_woodland_sniper_mp_camo,,Gold
body_sas_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,desert,ally,sniper,!female,!racewht,!raceblk,!racetan,,body_sas_woodland_sniper_mp_camo,,Gold
body_usmc_desert_sniper_mp_camo_brn,shirt,1,1,1,,,,,,desert,ally,sniper,!female,raceblk,,,,,,Gold
body_usmc_desert_sniper_mp_camo_tan,shirt,1,1,1,,,,,,desert,ally,sniper,!female,racetan,,,,,,Gold
body_usmc_desert_sniper_mp_camo_wht,shirt,1,1,1,,,,,,desert,ally,sniper,!female,racewht,,,,,,Gold
head_usmc_desert_assault_mp,head,1,1,0,none,head_usmc_desert_assault_mp_lobby,,,,snow,ally,assault,,,,,,,,Gold
head_h2_tf141_assault,head,1,1,0,,head_h2_tf141_assault,,,,urban,ally,assault,,,,,,,,Gold
head_h2_seal_assault,head,1,1,0,,head_h2_seal_assault,,,,woodland,ally,assault,,,,,,head_h2_tf141_assault,,Gold
head_h2_militia_assault,head,1,1,0,,head_h2_militia_assault,,,,urban,!ally,assault,,,,,,head_h2_airborne_assault,,Gold
head_h2_airborne_assault,head,1,1,0,,head_h2_airborne_assault,,,,woodland,!ally,assault,,,,,,head_h2_opforce_assault,,Gold
head_h2_opforce_assault,head,1,1,0,,head_h2_opforce_assault,,,,desert,!ally,assault,,,,,,head_h2_airborne_assault,,Gold
head_h2_opforce_assault,head,1,1,0,,head_h2_opforce_assault,,,,snow,!ally,assault,,,,,,head_h2_airborne_assault,,Gold
head_h2_opforce_lmg,head,1,1,0,,head_h2_opforce_lmg,,,,desert,!ally,lmg,,,,,,head_h2_airborne_lmg,,Gold
head_h2_opforce_lmg,head,1,1,0,,head_h2_opforce_lmg,,,,snow,!ally,lmg,,,,,,head_h2_airborne_lmg,,Gold
head_arab_desert_shotgun_mp,head,1,1,0,,head_arab_desert_shotgun_mp_lobby,,,,desert,!ally,shotgun,,,,,,,,Gold
head_h2_opforce_smg,head,1,1,0,,head_h2_opforce_smg,,,,desert,!ally,smg,,,,,,head_h2_airborne_smg,,Gold
head_h2_opforce_smg,head,1,1,0,,head_h2_opforce_smg,,,,snow,!ally,smg,,,,,,head_h2_airborne_smg,,Gold
head_spetsnaz_woodland_sniper_mp,head,1,1,0,,head_spetsnaz_woodland_sniper_mp,,,,desert,!ally,sniper,,,,,,,,Gold
head_spetsnaz_woodland_sniper_mp,head,1,1,0,,head_spetsnaz_woodland_sniper_mp,,,,snow,!ally,sniper,,,,,,,,Gold
head_h2_tf141_smg,head,1,1,0,,head_h2_tf141_smg,,,,urban,ally,lmg,,,,,,,,Gold
head_sas_ct_shotgun_mp,head,1,1,0,,head_sas_ct_shotgun_mp_lobby,,,,urban,ally,shotgun,,,,,,,,Gold
head_h2_tf141_lmg,head,1,1,0,,head_h2_tf141_lmg,,,,urban,ally,smg,,,,,,,,Gold
head_sas_woodland_sniper_mp,head,1,1,0,,head_sas_woodland_sniper_mp,,,,urban,ally,sniper,,,,,,,,Gold
head_h2_seal_lmg,head,1,1,0,,head_h2_seal_lmg,,,,woodland,ally,lmg,,,,,,head_h2_tf141_lmg,,Gold
head_sas_woodland_shotgun_mp,head,1,1,0,,head_sas_woodland_shotgun_mp_lobby,,,,woodland,ally,shotgun,,,,,,,,Gold
head_h2_seal_smg,head,1,1,0,,head_h2_seal_smg,,,,woodland,ally,smg,,,,,,head_h2_tf141_smg,,Gold
head_sas_woodland_sniper_mp,head,1,1,0,,head_sas_woodland_sniper_mp_lobby,,,,woodland,ally,sniper,,,,,,,,Gold
head_h2_militia_lmg,head,1,1,0,,head_h2_militia_lmg,,,,urban,!ally,lmg,,,,,,head_h2_airborne_lmg,,Gold
head_spetsnaz_urban_shotgun_mp,head,1,1,0,,head_spetsnaz_urban_shotgun_mp_lobby,,,,urban,!ally,shotgun,,,,,,,,Gold
head_h2_militia_smg,head,1,1,0,,head_h2_militia_smg,,,,urban,!ally,smg,,,,,,head_h2_airborne_smg,,Gold
head_spetsnaz_woodland_sniper_mp,head,1,1,0,,head_spetsnaz_woodland_sniper_mp,,,,urban,!ally,sniper,,,,,,,,Gold
head_h2_airborne_lmg,head,1,1,0,,head_h2_airborne_lmg,,,,woodland,!ally,lmg,,,,,,head_h2_opforce_lmg,,Gold
head_spetsnaz_woodland_shotgun_mp,head,1,1,0,,head_spetsnaz_woodland_shotgun_mp_lobby,,,,woodland,!ally,shotgun,,,,,,,,Gold
head_h2_airborne_smg,head,1,1,0,,head_h2_airborne_smg,,,,woodland,!ally,smg,,,,,,head_h2_opforce_smg,,Gold
head_spetsnaz_woodland_sniper_mp,head,1,1,0,,head_spetsnaz_woodland_sniper_mp_lobby,,,,woodland,!ally,sniper,,,,,,,,Gold
head_h2_us_army_assault,head,1,1,0,,head_h2_us_army_assault,,,,desert,ally,assault,,,,,,,,Gold
head_h2_us_army_smg,head,1,1,0,,head_h2_us_army_smg,,,,snow,ally,smg,,,,,,,,Gold
head_h2_us_army_lmg,head,1,1,0,,head_h2_us_army_lmg,,,,snow,ally,lmg,,,,,,,,Gold
head_h2_us_army_lmg,head,1,1,0,,head_h2_us_army_lmg,,,,desert,ally,lmg,,,,,,,,Gold
head_h2_us_army_assault,head,1,1,0,,head_h2_us_army_assault,,,,desert,ally,shotgun,,,,,,,,Gold
head_h2_us_army_smg,head,1,1,0,,head_h2_us_army_smg,,,,desert,ally,smg,,,,,,,,Gold
head_sas_woodland_sniper_mp,head,1,1,0,,head_sas_woodland_sniper_mp,,,,desert,ally,sniper,,,,,,,,Gold
head_sas_woodland_sniper_mp,head,1,1,0,,head_sas_woodland_sniper_mp,,,,snow,ally,sniper,,,,,,,,Gold
head_a_habhab_sas_ct_assault_mp,head,2,2,0,,head_a_habhab_sas_ct_assault_lobby,,,,urban,ally,assault,,,,,,,,LootDrop1
head_a_habhab_sas_woodland_assault_mp,head,2,2,0,,head_a_habhab_sas_woodland_assault_lobby,,,,woodland,ally,assault,,,,,,,,LootDrop1
head_a_habhab_spetsnaz_woodland_assault_mp,head,2,2,0,,head_a_habhab_spetsnaz_woodland_assault_lobby,,,,woodland,!ally,assault,,,,,,,,LootDrop1
head_a_habhab_spetsnaz_woodland_assault_mp,head,2,2,0,,head_a_habhab_spetsnaz_woodland_assault_lobby,,,,urban,!ally,assault,,,,,,,,LootDrop1
head_a_habhab_usmc_desert_assault_mp,head,2,2,0,,head_a_habhab_usmc_desert_assault_lobby,,,,desert,ally,assault,,,,,,,,LootDrop1
head_a_habhab_arab_desert_assault_mp,head,2,2,0,,head_a_habhab_arab_desert_assault_lobby,,,,desert,!ally,assault,,,,,,,,LootDrop1
head_a_habhab_arab_desert_lmg_mp,head,2,2,0,,head_a_habhab_arab_desert_lmg_lobby,,,,desert,!ally,lmg,,,,,,,,LootDrop1
head_a_habhab_arab_desert_shotgun_mp,head,2,2,0,,head_a_habhab_arab_desert_shotgun_lobby,,,,desert,!ally,shotgun,,,,,,,,LootDrop1
head_a_habhab_arab_desert_smg_mp,head,2,2,0,,head_a_habhab_arab_desert_smg_lobby,,,,desert,!ally,smg,,,,,,,,LootDrop1
head_a_habhab_arab_desert_sniper_mp,head,2,2,0,,head_a_habhab_arab_desert_sniper_lobby,,,,desert,!ally,sniper,,,,,,,,LootDrop1
head_a_habhab_sas_ct_lmg_mp,head,2,2,0,,head_a_habhab_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,LootDrop1
head_a_habhab_sas_ct_shotgun_mp,head,2,2,0,,head_a_habhab_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,LootDrop1
head_a_habhab_sas_ct_smg_mp,head,2,2,0,,head_a_habhab_sas_ct_smg_lobby,,,,urban,ally,smg,,,,,,,,LootDrop1
head_a_habhab_sas_ct_sniper_mp,head,2,2,0,,head_a_habhab_sas_ct_sniper_lobby,,,,urban,ally,sniper,,,,,,,,LootDrop1
head_a_habhab_sas_woodland_lmg_mp,head,2,2,0,,head_a_habhab_sas_woodland_lmg_lobby,,,,woodland,ally,lmg,,,,,,,,LootDrop1
head_a_habhab_sas_woodland_shotgun_mp,head,2,2,0,,head_a_habhab_sas_woodland_shotgun_lobby,,,,woodland,ally,shotgun,,,,,,,,LootDrop1
head_a_habhab_sas_woodland_smg_mp,head,2,2,0,,head_a_habhab_sas_woodland_smg_lobby,,,,woodland,ally,smg,,,,,,,,LootDrop1
